net,length_um
_0238_,578.97µm
_0303_,541.51µm
net289,536.32µm
_0458_,487.38µm
_0932_,481.75µm
_1983_,477.63µm
_1492_,460.36µm
_1042_,443.4µm
_1470_,441.32µm
_2422_,438.18µm
_0927_,418.2µm
_1884_,416.59µm
_2191_,413.96µm
_0490_,412.82µm
net218,401.96µm
_4035_,393.44µm
_1240_,383.64µm
net157,378.28µm
net245,372.64µm
_1426_,372.55µm
net4,371.37µm
net307,368.955µm
_1119_,364.81µm
net97,362.74µm
net274,356.815µm
net123,348µm
_0269_,347.02µm
_3885_,345.95µm
_1481_,338.94µm
_3901_,335.76µm
net259,334.6µm
net419,315.725µm
net39,312.87µm
net284,311.3µm
net12,306.28µm
net7,305µm
_1218_,304.34µm
_3668_,302.45µm
net267,302.15µm
net15,301.76µm
net190,298.82µm
_1503_,295.21µm
net9,293.61µm
net64,288.91µm
net187,286.32µm
net282,283.59µm
net32,279.16µm
net292,278.62µm
net107,274.875µm
net16,271.57µm
net321,270.14µm
_2449_,269.24µm
net142,267.5µm
_0685_,267.16µm
net286,264.98µm
net141,264.86µm
counter\[11\],263.48µm
net244,263.45µm
_2378_,262.3µm
net295,260.66µm
counter\[10\],260.37µm
net320,260.08µm
net100,260.02µm
net297,257.24µm
net63,256.58µm
net269,254.1µm
net315,251.58µm
net77,250.27µm
net231,249.86µm
net247,248µm
net261,245µm
net113,243.26µm
net304,242.8µm
_3751_,242.27µm
net162,238.06µm
net186,237.07µm
net191,233.36µm
net248,233.02µm
net55,232.5µm
counter\[5\],232.38µm
_3082_,232.1µm
_2115_,231.36µm
net91,231.28µm
net78,229.71µm
net420,229.34µm
net314,229µm
net226,226.59µm
net138,225.96µm
_2216_,225.665µm
counter\[3\],224.8µm
counter\[7\],222.66µm
net270,221.72µm
_1031_,220.82µm
_0868_,219.86µm
net73,218.58µm
_3827_,217.59µm
net235,216.89µm
net76,215.73µm
net173,214.085µm
_0149_,213.945µm
net116,213.48µm
net319,213.33µm
_3997_,212.32µm
net26,212.24µm
net294,212.2µm
net74,212.1µm
_2678_,212µm
_2268_,211.94µm
_0691_,211.76µm
_0699_,209.9µm
net90,209.86µm
net18,209.52µm
_2163_,209.46µm
counter\[0\],208.91µm
net189,207.76µm
_3652_,206.78µm
net33,206.645µm
_0687_,205.24µm
net106,205.08µm
net200,204.69µm
net61,204.46µm
net233,203.83µm
net298,203.4µm
net42,203.19µm
net265,203.1µm
net14,202.58µm
net79,201.72µm
net299,200.42µm
_2202_,199.935µm
net278,199.52µm
net293,199.42µm
net268,199.17µm
_1229_,198.76µm
net224,197.3µm
net22,196.32µm
net21,195.54µm
net80,195.52µm
net287,194.7µm
net10,194.44µm
net126,194.4µm
net310,194.38µm
_1840_,194.24µm
_0926_,193.29µm
net75,192.74µm
net242,191.72µm
_2883_,190.4µm
net195,189.41µm
net31,189.18µm
net249,188.04µm
net167,187.92µm
net256,187.3µm
net279,187.27µm
_2139_,187.06µm
net217,186.76µm
_0200_,186.72µm
net309,186.685µm
net93,186.27µm
net20,184.72µm
net257,184.14µm
net45,183.79µm
net208,182.26µm
net308,182.22µm
net262,181.84µm
net110,181.24µm
net112,178.55µm
_0863_,176.08µm
net140,175.44µm
_2381_,174.35µm
net82,174µm
_2162_,173.96µm
net238,173.59µm
net302,173.31µm
net58,173µm
_3769_,172.95µm
net133,172.94µm
net137,171.76µm
_2950_,171.63µm
net95,170.68µm
net163,170.2µm
net272,169.24µm
net102,168.18µm
_1873_,167.82µm
net81,167.49µm
net181,167.2µm
net212,166.75µm
net296,166.56µm
net266,166.4µm
net318,165.25µm
net285,165.02µm
net260,164.77µm
_2128_,164.14µm
net182,163.74µm
_2130_,163.12µm
net50,160.76µm
net122,160.7µm
net147,160.46µm
net280,159.935µm
net258,159.44µm
net306,158.88µm
net27,158.74µm
net170,158µm
_2287_,157.38µm
net152,155.94µm
net48,154.82µm
net237,154.7µm
net174,154.6µm
net46,154.52µm
net276,153.96µm
net139,153.48µm
net105,152.91µm
net120,152.705µm
_4038_,152.66µm
net146,152.42µm
net291,150.48µm
net219,149.88µm
net29,148.875µm
net165,148.56µm
_0916_,147.2µm
net119,147.01µm
net263,146.74µm
net311,146.18µm
net153,145.86µm
net290,145.68µm
net198,145.06µm
net283,144.3µm
net214,144.04µm
net168,143.46µm
net176,143.46µm
net161,143.285µm
_0909_,143.13µm
net177,143.125µm
net312,142.3µm
net175,142.05µm
net96,141.94µm
net317,141.7µm
net207,141.2µm
_0684_,139.7µm
net144,139.62µm
net179,138.8µm
net118,137.975µm
net194,137.92µm
_3979_,137.52µm
net204,137.36µm
net222,137.06µm
net275,136.96µm
net84,136.88µm
net240,136.08µm
net135,135.965µm
net228,133.94µm
net185,133.75µm
net85,132.945µm
_2374_,132.84µm
net230,132.08µm
_2286_,131.71µm
net115,131.52µm
net158,131.3µm
net243,131.24µm
net281,130.24µm
net277,130.11µm
_0921_,129.78µm
_0925_,129.78µm
net271,129.54µm
net160,128.82µm
net229,128.78µm
net246,127.44µm
net164,126.36µm
net180,125.56µm
_1427_,125.475µm
net171,124.74µm
net88,123.84µm
net40,123.45µm
net288,122.92µm
net156,122.38µm
net273,122.115µm
_1545_,121.735µm
net202,120.66µm
net205,120.61µm
net188,120.26µm
net196,120.24µm
net303,120.19µm
net301,119.46µm
net305,118.26µm
net166,118.1µm
net125,117.5µm
_1657_,117.42µm
net210,117.37µm
net223,116.91µm
net227,116.86µm
net172,116.22µm
_3976_,116.06µm
net169,114.81µm
net241,114.7µm
net86,114.67µm
net87,114.34µm
net154,113.91µm
_4021_,112.88µm
net159,112.16µm
net251,111.98µm
net264,111.8µm
net99,111.52µm
net199,111.38µm
net239,110.48µm
net215,109.425µm
net211,109.24µm
net213,109.08µm
net121,109.06µm
net193,108.76µm
net23,107.24µm
_3149_,106.36µm
net35,105.24µm
clknet_2_2__leaf_clk,104.76µm
_0207_,104.38µm
net253,104.38µm
net114,104µm
net197,103.975µm
net220,103.58µm
net98,102.08µm
net221,101.12µm
net209,101.1µm
net225,100.6µm
net316,99.36µm
net398,99.02µm
net300,98.495µm
net19,98.15µm
_0443_,97.72µm
net148,97.42µm
net129,97.07µm
net151,95.96µm
net178,95.58µm
_0209_,95.02µm
net117,94.88µm
counter\[9\],94.24µm
clknet_2_3__leaf_clk,93.76µm
_2471_,93.6µm
net254,93.42µm
_2538_,93.3µm
_3309_,93µm
net111,92.62µm
net206,92.1µm
net201,92.04µm
net30,91µm
net101,90.8µm
_2702_,90.4µm
net108,90.12µm
net192,89.86µm
net183,89.14µm
net203,88.83µm
net36,88.76µm
net150,88.66µm
net89,88.44µm
_1108_,88.12µm
net43,87.28µm
net134,86.17µm
_0446_,86.12µm
net143,85.67µm
net234,85.5µm
net400,83.06µm
net103,82.74µm
net255,82.5µm
_0436_,82.46µm
net124,82.44µm
_2127_,82.1µm
net24,81.82µm
net149,81.06µm
net252,80.92µm
_0224_,80.86µm
_2433_,79.64µm
_4097_,78.6µm
_1602_,78.02µm
net232,77.86µm
_0435_,77.68µm
net313,77.5µm
net130,77.2µm
net155,75.86µm
net132,75.2µm
net44,75.06µm
_0432_,73.78µm
_2129_,73.6µm
net236,73.6µm
_0928_,73.14µm
net1,73.08µm
_3672_,73.02µm
_0333_,72.91µm
_0430_,72.18µm
_2665_,71.24µm
_0600_,71.06µm
_3905_,70.5µm
clknet_0_clk,69.82µm
net145,69.74µm
_4044_,67.14µm
net28,66.04µm
net184,65.52µm
net127,65.42µm
net62,64.52µm
_3918_,64.44µm
_3152_,64.43µm
_0365_,64.2µm
clknet_2_1__leaf_clk,64.19µm
_4023_,64.1µm
_2775_,63.78µm
_1622_,63.64µm
_2805_,63.28µm
counter\[13\],62.8µm
_3986_,62.68µm
net136,61.93µm
_3978_,61.1µm
counter\[15\],60.64µm
clk,59.96µm
net250,59.88µm
_3359_,59.82µm
_2736_,59.71µm
net393,59.7µm
_0425_,59.5µm
_2111_,59.44µm
_0001_,58.94µm
net104,58.84µm
net47,58.8µm
net38,58.62µm
_1646_,58.24µm
_0456_,58.14µm
net66,57.98µm
_0597_,56.76µm
_0639_,56.64µm
_3949_,56.61µm
counter\[4\],55.68µm
_3953_,55.52µm
_1256_,55.3µm
net94,55.08µm
_3641_,54.88µm
_0604_,54.86µm
_3908_,54.62µm
_2455_,54.56µm
net5,54.22µm
_2080_,54.08µm
net49,53.64µm
_2767_,52.96µm
_2810_,52.66µm
_3312_,52.44µm
_0415_,52.06µm
clknet_2_0__leaf_clk,51.975µm
_0317_,51.81µm
_4037_,51.72µm
_2523_,51.22µm
net8,50.78µm
_3763_,50.74µm
_2410_,50.735µm
net37,50.44µm
_0602_,50.42µm
_2940_,50.22µm
_1792_,50.04µm
net216,50.03µm
net3,49.9µm
_2004_,49.52µm
net67,49.4µm
_3883_,48.9µm
_3411_,48.76µm
_2239_,48.74µm
_4168_,48.4µm
_2851_,48.22µm
_3667_,48.2µm
_2773_,47.98µm
net6,47.66µm
_0403_,47.12µm
_0210_,46.5µm
_3887_,45.915µm
_3066_,45.61µm
net59,45.28µm
_3952_,45.22µm
_0641_,45.18µm
_0114_,44.68µm
_3584_,44.66µm
_2877_,44.42µm
_2119_,44.22µm
_3656_,43.995µm
_0539_,43.98µm
_3815_,43.92µm
_4125_,43.24µm
_2068_,43.22µm
_3873_,43µm
_1922_,42.86µm
_1010_,42.56µm
net11,42.44µm
_2813_,42.3µm
_0515_,42.24µm
net60,42.06µm
_0223_,41.94µm
_3357_,41.9µm
_2504_,41.78µm
counter\[1\],41.54µm
_3332_,41.48µm
net128,41.44µm
_1721_,41.14µm
_1379_,41.1µm
_3477_,41.1µm
_2133_,40.7µm
_3909_,40.7µm
net131,40.515µm
_3507_,39.98µm
_1162_,39.86µm
_3840_,39.82µm
_0506_,39.7µm
_2588_,39.28µm
_1914_,39.08µm
_2755_,39.08µm
_1127_,38.76µm
_2465_,38.7µm
_3156_,38.6µm
_0296_,38.32µm
_3195_,38.24µm
_3490_,38.24µm
_2448_,38.2µm
net52,38.2µm
_2696_,38.14µm
_3867_,38.12µm
_3297_,38.065µm
_3786_,38.02µm
_0386_,37.94µm
_3376_,37.88µm
_3662_,37.82µm
_3466_,37.8µm
_3463_,37.64µm
_2308_,37.36µm
_2356_,37.36µm
_0348_,37.24µm
_0116_,37.08µm
_1660_,36.98µm
_4004_,36.86µm
_0441_,36.66µm
_2878_,36.36µm
_2359_,36.2µm
_3716_,36.18µm
_3473_,36.14µm
_0388_,36.01µm
_1142_,35.98µm
net72,35.88µm
_2589_,35.84µm
_1802_,35.82µm
_1510_,35.68µm
_3561_,35.64µm
_1837_,35.44µm
_2610_,35.34µm
_3105_,35.24µm
_0335_,35.16µm
_1638_,35.14µm
_2371_,35µm
_2701_,34.94µm
_3307_,34.92µm
_4092_,34.755µm
_1238_,34.62µm
_4039_,34.36µm
_2952_,34.34µm
_3194_,34.18µm
_3829_,34.18µm
_2972_,34.12µm
_2846_,34.1µm
net92,34.02µm
_1404_,33.94µm
_3393_,33.88µm
_0582_,33.82µm
_1761_,33.8µm
_0864_,33.7µm
net109,33.56µm
_3714_,33.5µm
_1242_,33.48µm
_1691_,33.35µm
_1955_,33.315µm
_0405_,33.08µm
_3783_,33.04µm
_3464_,33µm
_1254_,32.92µm
net69,32.68µm
_3547_,32.58µm
net68,32.54µm
_3715_,32.4µm
_1435_,32.36µm
_1929_,32.34µm
_3717_,32.13µm
_3158_,32.08µm
_1623_,32.02µm
_2663_,31.97µm
_0452_,31.92µm
_0635_,31.9µm
_1219_,31.8µm
_1337_,31.8µm
_4192_,31.76µm
_2751_,31.73µm
_2405_,31.66µm
_2612_,31.64µm
_3790_,31.46µm
_2664_,31.38µm
_3276_,31.32µm
_1440_,31.24µm
_0153_,31.2µm
_0707_,31.17µm
_3424_,31.12µm
_3277_,31.04µm
_0498_,30.78µm
_0798_,30.64µm
_3977_,30.62µm
_3001_,30.48µm
_1446_,30.46µm
_2225_,30.46µm
_0384_,30.34µm
_2893_,30.26µm
_0657_,30.18µm
_1192_,30.18µm
_0703_,30.12µm
_0360_,30.08µm
_2147_,30.08µm
_3573_,30.04µm
_1882_,29.98µm
_0880_,29.96µm
_0756_,29.94µm
_4024_,29.88µm
_4156_,29.86µm
_1905_,29.84µm
_2335_,29.84µm
_3739_,29.8µm
_2993_,29.78µm
_1804_,29.67µm
_4147_,29.56µm
_3002_,29.48µm
_3255_,29.38µm
_2104_,29.34µm
_3395_,29.32µm
_0688_,29.28µm
net57,29.26µm
_1469_,29.18µm
_2011_,29.16µm
_2936_,29.12µm
_0800_,29.1µm
net13,29.02µm
_3315_,29µm
_2439_,28.92µm
_3862_,28.92µm
_0518_,28.86µm
_4070_,28.7µm
_3468_,28.66µm
_0358_,28.6µm
_3877_,28.52µm
_1186_,28.48µm
_1831_,28.44µm
_3643_,28.4µm
_3684_,28.36µm
net71,28.36µm
_0593_,28.28µm
net65,28.28µm
_4082_,28.24µm
_0811_,28.22µm
_2809_,28.18µm
net51,28.16µm
_0189_,28.14µm
_4083_,27.88µm
_1455_,27.82µm
_1244_,27.74µm
_3727_,27.68µm
_0082_,27.62µm
_3574_,27.6µm
_3659_,27.58µm
_1549_,27.44µm
_1221_,27.4µm
_2149_,27.39µm
_0584_,27.36µm
_1590_,27.32µm
_1181_,27.28µm
_3741_,27.2µm
_2094_,27.1µm
_1145_,27.04µm
_2406_,26.99µm
_2990_,26.98µm
_2327_,26.96µm
_2806_,26.84µm
_4022_,26.82µm
_0700_,26.8µm
_3282_,26.8µm
_0427_,26.68µm
_0677_,26.64µm
_3146_,26.64µm
_4166_,26.64µm
_0260_,26.54µm
_0263_,26.4µm
_3658_,26.4µm
_2982_,26.38µm
_0992_,26.36µm
_0294_,26.32µm
_1557_,26.26µm
_3567_,26.24µm
counter\[2\],26.24µm
_3360_,26.22µm
_1476_,26.18µm
_3793_,26.14µm
_3287_,26.1µm
_4060_,26.1µm
_0289_,25.98µm
_1102_,25.95µm
_1495_,25.94µm
_1132_,25.84µm
_1821_,25.82µm
_2569_,25.78µm
_3938_,25.78µm
_1987_,25.76µm
_3065_,25.76µm
_3843_,25.76µm
net83,25.74µm
_2428_,25.72µm
_3691_,25.72µm
_0830_,25.66µm
_1066_,25.62µm
_4186_,25.62µm
_1818_,25.605µm
_1401_,25.6µm
_1507_,25.48µm
_1471_,25.42µm
_3486_,25.42µm
_3023_,25.36µm
_3087_,25.36µm
_1771_,25.28µm
_1091_,25.26µm
_3549_,25.18µm
_3768_,25.14µm
net54,25.06µm
_1006_,25.02µm
_1018_,25.02µm
_2609_,25.02µm
_3627_,25.02µm
_1497_,25µm
_1479_,24.9µm
_1894_,24.86µm
_4034_,24.86µm
_0592_,24.82µm
_0576_,24.76µm
_1054_,24.7µm
_1472_,24.66µm
_2328_,24.66µm
_1808_,24.58µm
_4163_,24.56µm
_3253_,24.52µm
_1704_,24.5µm
_3427_,24.46µm
_1978_,24.44µm
counter\[14\],24.42µm
_0455_,24.4µm
_4026_,24.39µm
_2049_,24.37µm
_3548_,24.34µm
_0217_,24.32µm
_2489_,24.3µm
_3673_,24.3µm
_0499_,24.26µm
_2928_,24.235µm
_2923_,24.22µm
_3462_,24.16µm
_3141_,24.14µm
_2143_,24.1µm
_0713_,24.05µm
_1824_,24.04µm
_1319_,23.94µm
_2975_,23.92µm
_3033_,23.88µm
_3756_,23.86µm
_0139_,23.84µm
_1854_,23.84µm
_1200_,23.82µm
_0695_,23.72µm
_2324_,23.72µm
_0632_,23.68µm
_1043_,23.68µm
_0902_,23.64µm
_0281_,23.62µm
_1570_,23.62µm
_1941_,23.62µm
_2764_,23.62µm
_3385_,23.58µm
_1370_,23.56µm
_0874_,23.54µm
_3150_,23.5µm
_2028_,23.48µm
_3465_,23.46µm
_3598_,23.42µm
_0991_,23.4µm
_3552_,23.36µm
_4159_,23.36µm
_0162_,23.34µm
_1050_,23.32µm
_1795_,23.3µm
_2998_,23.26µm
counter\[6\],23.255µm
_3788_,23.22µm
_3419_,23.2µm
_4073_,23.2µm
_1411_,23.18µm
_1542_,23.16µm
_2409_,23.16µm
_1128_,23.13µm
_2134_,23.12µm
_1878_,23.095µm
_2278_,23.06µm
_1453_,23µm
_0930_,22.98µm
_1879_,22.98µm
_0753_,22.96µm
_0812_,22.96µm
_4111_,22.96µm
_3645_,22.94µm
_2385_,22.93µm
_0229_,22.92µm
_0739_,22.92µm
_1491_,22.92µm
_2824_,22.92µm
_3740_,22.92µm
_2171_,22.88µm
_2204_,22.88µm
_4088_,22.84µm
_0150_,22.82µm
_3089_,22.82µm
_1473_,22.76µm
_3481_,22.72µm
_0727_,22.7µm
_3218_,22.68µm
_2393_,22.66µm
_0544_,22.62µm
_3256_,22.62µm
_3333_,22.62µm
_0571_,22.6µm
_0745_,22.58µm
_4203_,22.52µm
_2332_,22.5µm
_3501_,22.5µm
_0950_,22.48µm
_1116_,22.48µm
_2229_,22.38µm
_1277_,22.36µm
_1593_,22.34µm
_0134_,22.31µm
_1947_,22.3µm
_1341_,22.28µm
_0923_,22.27µm
_2570_,22.21µm
_2124_,22.2µm
_0985_,22.14µm
_1848_,22.14µm
_0161_,22.12µm
_1065_,22.08µm
_3713_,22.07µm
_0524_,22.04µm
_3657_,22.04µm
_0282_,21.98µm
_0085_,21.94µm
_1612_,21.94µm
_2573_,21.94µm
_1330_,21.92µm
_3913_,21.9µm
_3686_,21.875µm
_0492_,21.87µm
_2002_,21.84µm
_1569_,21.8µm
_2274_,21.8µm
_1686_,21.795µm
_2364_,21.78µm
_1640_,21.76µm
_1458_,21.74µm
_3766_,21.74µm
_0542_,21.7µm
_0256_,21.67µm
_1340_,21.66µm
_1428_,21.62µm
_1007_,21.58µm
_0771_,21.46µm
_1756_,21.46µm
_1301_,21.42µm
_3368_,21.42µm
counter\[8\],21.38µm
_0072_,21.36µm
_0808_,21.36µm
_1902_,21.36µm
_2257_,21.36µm
_4104_,21.32µm
_3774_,21.3µm
_2461_,21.265µm
_1177_,21.26µm
_3992_,21.26µm
net360,21.26µm
_0418_,21.24µm
_1547_,21.24µm
_3330_,21.24µm
_2348_,21.22µm
_1664_,21.2µm
_1700_,21.2µm
_3167_,21.125µm
_0102_,21.1µm
_0169_,21.1µm
_0761_,21.1µm
_4093_,21.09µm
_1559_,21.085µm
_1522_,21.08µm
_0496_,21.025µm
_0204_,21.02µm
_0481_,21.02µm
_1822_,21.02µm
_3047_,21µm
_3866_,21µm
_2087_,20.96µm
_2516_,20.94µm
_1564_,20.89µm
_4017_,20.88µm
_0242_,20.84µm
_3895_,20.84µm
_2734_,20.8µm
_0420_,20.78µm
_2779_,20.78µm
_2983_,20.76µm
_2958_,20.74µm
delta\[13\],20.68µm
_1776_,20.66µm
_2075_,20.66µm
_2093_,20.64µm
_2077_,20.635µm
_3833_,20.62µm
_1708_,20.6µm
_3055_,20.56µm
_3258_,20.5µm
_1356_,20.48µm
_0467_,20.46µm
net424,20.44µm
_1739_,20.4µm
_1816_,20.4µm
_2847_,20.32µm
_4064_,20.32µm
_2159_,20.28µm
_4048_,20.27µm
_1844_,20.24µm
_4031_,20.24µm
_1468_,20.22µm
_2081_,20.22µm
_0264_,20.18µm
_0095_,20.16µm
_0288_,20.14µm
_0300_,20.14µm
_0782_,20.14µm
_1620_,20.12µm
_1618_,20.08µm
_3608_,20.06µm
_3339_,20.04µm
_0148_,20µm
_3201_,20µm
_0858_,19.98µm
_2387_,19.98µm
_2874_,19.98µm
_2888_,19.98µm
_2815_,19.96µm
_2844_,19.96µm
_2366_,19.86µm
_2443_,19.84µm
rstb,19.84µm
_0422_,19.82µm
_1946_,19.8µm
_0205_,19.78µm
_1605_,19.78µm
_2435_,19.78µm
_2646_,19.76µm
_3690_,19.76µm
_3787_,19.74µm
_1013_,19.72µm
_3474_,19.72µm
_0537_,19.7µm
_0974_,19.7µm
_1023_,19.7µm
_1571_,19.69µm
_2717_,19.68µm
_3809_,19.66µm
_1028_,19.62µm
_2642_,19.62µm
_2649_,19.62µm
_4164_,19.62µm
_2651_,19.54µm
_3651_,19.54µm
_4085_,19.54µm
_0567_,19.52µm
_3172_,19.5µm
_0647_,19.48µm
_2330_,19.46µm
_3759_,19.46µm
_3886_,19.46µm
_2737_,19.42µm
_0397_,19.4µm
_3320_,19.38µm
_2801_,19.34µm
_0124_,19.32µm
_3375_,19.3µm
_1899_,19.28µm
_0409_,19.24µm
_2341_,19.24µm
_3318_,19.24µm
_0203_,19.22µm
_1763_,19.2µm
_3782_,19.19µm
_3870_,19.18µm
_1014_,19.16µm
_2754_,19.16µm
_0778_,19.14µm
_1871_,19.14µm
net362,19.14µm
_0757_,19.12µm
_2720_,19.12µm
_2102_,19.08µm
_2781_,19.06µm
_3614_,19.06µm
_3737_,19.06µm
_4126_,19.06µm
_3143_,19.05µm
_0618_,19.04µm
delta\[8\],19µm
_0875_,18.98µm
_1123_,18.98µm
_3678_,18.94µm
_3973_,18.94µm
_1606_,18.93µm
_3349_,18.92µm
_0501_,18.9µm
_1188_,18.88µm
_2635_,18.84µm
_1335_,18.82µm
_2118_,18.82µm
_4058_,18.8µm
_3448_,18.78µm
_0135_,18.76µm
_0145_,18.7µm
_1008_,18.7µm
_1578_,18.7µm
_0106_,18.68µm
_0794_,18.66µm
_0770_,18.64µm
_1005_,18.64µm
_3688_,18.64µm
_0645_,18.62µm
_2790_,18.62µm
_1044_,18.6µm
_1610_,18.59µm
_3051_,18.58µm
_0860_,18.56µm
_2752_,18.56µm
_4204_,18.55µm
_1728_,18.54µm
_0261_,18.52µm
_0672_,18.52µm
_0747_,18.5µm
_3939_,18.5µm
_1189_,18.46µm
_1245_,18.46µm
_1908_,18.44µm
_2512_,18.44µm
_3179_,18.44µm
_4015_,18.43µm
_0419_,18.4µm
_1215_,18.4µm
_0464_,18.39µm
_1442_,18.36µm
_1868_,18.36µm
_3223_,18.36µm
_3429_,18.36µm
_1011_,18.345µm
_1049_,18.32µm
_2914_,18.3µm
_0473_,18.26µm
_0803_,18.24µm
_2650_,18.24µm
_3475_,18.24µm
_4122_,18.22µm
_1452_,18.175µm
_1088_,18.1µm
_0643_,18.06µm
_1199_,18.06µm
_2599_,18.06µm
_0453_,18.04µm
_2008_,18.035µm
_0951_,18.02µm
_1211_,18.02µm
_1632_,18.02µm
_1701_,18.02µm
_2210_,18.02µm
_1679_,18.01µm
_1147_,18µm
_2544_,18µm
_2600_,18µm
_4018_,17.99µm
_0412_,17.98µm
_2522_,17.98µm
_3102_,17.94µm
_4007_,17.94µm
_0710_,17.905µm
_2222_,17.9µm
_0893_,17.86µm
_1693_,17.86µm
_1826_,17.84µm
_3799_,17.84µm
_3554_,17.83µm
_0532_,17.82µm
_1585_,17.82µm
_0666_,17.76µm
_3789_,17.68µm
_3932_,17.68µm
net25,17.68µm
_1349_,17.66µm
_0746_,17.64µm
_0482_,17.62µm
_1194_,17.6µm
_0374_,17.56µm
_0564_,17.56µm
_1680_,17.56µm
_4161_,17.55µm
_2186_,17.54µm
_0199_,17.52µm
_1419_,17.52µm
_2361_,17.5µm
